County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Adams,COLORADO,08001,39.8714085, -104.2701374,915,35
Alamosa,COLORADO,08003,39.8714085, -104.2701374,7,2
Arapahoe,COLORADO,08005,39.8714085, -104.2701374,1536,65
Archuleta,COLORADO,08007,39.8714085, -104.2701374,7,
Baca,COLORADO,08009,39.8714085, -104.2701374,10,
Boulder,COLORADO,08013,39.8714085, -104.2701374,352,17
Broomfield,COLORADO,08014,39.8714085, -104.2701374,101,2
Chaffee,COLORADO,08015,39.8714085, -104.2701374,38,4
Clear Creek,COLORADO,08019,39.8714085, -104.2701374,11,
Costilla,COLORADO,08023,39.8714085, -104.2701374,3,
Crowley,COLORADO,08025,39.8714085, -104.2701374,2,1
Custer,COLORADO,08027,39.8714085, -104.2701374,2,
Delta,COLORADO,08029,39.8714085, -104.2701374,22,1
Denver,COLORADO,08031,39.8714085, -104.2701374,1784,75
Douglas,COLORADO,08035,39.8714085, -104.2701374,368,16
Eagle,COLORADO,08037,39.8714085, -104.2701374,485,7
El Paso,COLORADO,08041,39.8714085, -104.2701374,731,49
Elbert,COLORADO,08039,39.8714085, -104.2701374,23,1
Fremont,COLORADO,08043,39.8714085, -104.2701374,10,
Garfield,COLORADO,08045,39.8714085, -104.2701374,70,2
Gilpin,COLORADO,08047,39.8714085, -104.2701374,1,
Grand,COLORADO,08049,39.8714085, -104.2701374,4,
Gunnison,COLORADO,08051,39.8714085, -104.2701374,114,3
Hinsdale,COLORADO,08053,39.8714085, -104.2701374,3,
Huerfano,COLORADO,08055,39.8714085, -104.2701374,1,
Jefferson,COLORADO,08059,39.8714085, -104.2701374,957,36
Kit Carson,COLORADO,08063,39.8714085, -104.2701374,18,1
La Plata,COLORADO,08067,39.8714085, -104.2701374,52,
Lake,COLORADO,08065,39.8714085, -104.2701374,8,
Larimer,COLORADO,08069,39.8714085, -104.2701374,239,12
Las Animas,COLORADO,08071,39.8714085, -104.2701374,3,
Lincoln,COLORADO,08073,39.8714085, -104.2701374,3,
Logan,COLORADO,08075,39.8714085, -104.2701374,17,1
Mesa,COLORADO,08077,39.8714085, -104.2701374,35,
Mineral,COLORADO,08079,39.8714085, -104.2701374,2,
Moffat,COLORADO,08081,39.8714085, -104.2701374,4,
Montezuma,COLORADO,08083,39.8714085, -104.2701374,13,2
Montrose,COLORADO,08085,39.8714085, -104.2701374,77,7
Morgan,COLORADO,08087,39.8714085, -104.2701374,157,2
Otero,COLORADO,08089,39.8714085, -104.2701374,6,
Ouray,COLORADO,08091,39.8714085, -104.2701374,5,1
Park,COLORADO,08093,39.8714085, -104.2701374,6,
Phillips,COLORADO,08095,40.5888329, -102.3701723,5,
Pitkin,COLORADO,08097,39.8714085, -104.2701374,57,2
Prowers,COLORADO,08099,39.8714085, -104.2701374,1,
Pueblo,COLORADO,08101,39.8714085, -104.2701374,87,6
Rio Blanco,COLORADO,08103,39.8714085, -104.2701374,1,
Rio Grande,COLORADO,08105,39.8714085, -104.2701374,7,
Routt,COLORADO,08107,39.8714085, -104.2701374,49,2
Saguache,COLORADO,08109,39.8714085, -104.2701374,3,
San Miguel,COLORADO,08113,39.8714085, -104.2701374,15,
Summit,COLORADO,08117,39.8714085, -104.2701374,86,1
Teller,COLORADO,08119,39.8714085, -104.2701374,24,2
Washington,COLORADO,08121,39.8714085, -104.2701374,6,
Weld,COLORADO,08123,39.8714085, -104.2701374,1070,64
Yuma,COLORADO,08125,39.8714085, -104.2701374,3,
*Unknown or pending,COLORADO,08,38.7251776,-105.6077167,114,1
Out of state,COLORADO,08,-105.6077167,-105.6077167,,2
