County,State,fips,Latitude/Longitude,Confirmed Cases,Deaths,Hospitalizations
Accomack County,VIRGINIA,51001,"[37.7422207, -75.6743538]",195,3,17
Albemarle County,VIRGINIA,51003,"[38.0085107, -78.6086754]",77,3,14
Alexandria (city),VIRGINIA,51510,"[38.8051095, -77.0470229]",627,18,79
Alleghany County,VIRGINIA,51005,"[37.8167022, -80.0227166]",5,0,4
Amelia County,VIRGINIA,51007,"[37.3319664, -78.008448]",15,1,6
Amherst County,VIRGINIA,51009,"[37.5997548, -79.1483701]",9,0,1
Appomattox County,VIRGINIA,51011,"[37.37433, -78.7954765]",17,0,0
Arlington County,VIRGINIA,51013,"[38.8769326, -77.0893094]",836,32,144
Augusta County,VIRGINIA,51015,"[38.1793809, -79.1525761]",36,1,2
Bedford County,VIRGINIA,51019,"[37.3123905, -79.5399003]",25,0,1
Botetourt County,VIRGINIA,51023,"[37.5520825, -79.8029569]",27,3,9
Bristol (city),VIRGINIA,51520,"[36.6176148, -82.1484049]",1,0,0
Brunswick County,VIRGINIA,51025,"[36.7788996, -77.8670883]",14,0,3
Buchanan County,VIRGINIA,51027,"[37.2600448, -82.0320334]",14,0,0
Buckingham County,VIRGINIA,51029,"[37.5558826, -78.5547172]",45,0,6
Buena Vista (city),VIRGINIA,51530,"[37.7369857, -79.3545676]",5,0,0
Campbell County,VIRGINIA,51031,"[37.2158191, -79.1165953]",11,0,0
Carroll County,VIRGINIA,51035,"[36.7365816, -80.7439791]",4,0,1
Caroline County,VIRGINIA,51033,"[38.0320305, -77.362363]",21,0,4
Charles City County,VIRGINIA,51036,"[37.3705777, -77.0605098]",13,1,5
Charlotte County,VIRGINIA,51037,"[37.0416273, -78.6523968]",7,0,1
Charlottesville (city),VIRGINIA,51540,"[38.029306, -78.4766781]",50,2,13
Chesapeake (city),VIRGINIA,51550,"[36.7183708, -76.2466798]",214,6,45
Chesterfield County,VIRGINIA,51041,"[37.3859982, -77.578509]",457,18,39
Clarke County,VIRGINIA,51043,"[39.119728, -77.9926448]",7,0,1
Colonial Heights (city),VIRGINIA,51570,"[37.2659454, -77.3990079]",45,3,0
Covington (city),VIRGINIA,51580,"[37.7810972, -79.9881199]",1,0,0
Craig County,VIRGINIA,51045,"[37.4760225, -80.1990826]",2,0,0
Culpeper County,VIRGINIA,51047,"[38.4912207, -77.9618216]",113,2,10
Cumberland County,VIRGINIA,51049,"[37.5004191, -78.2469202]",10,0,1
Danville (city),VIRGINIA,51590,"[36.5706943, -79.3882557]",33,1,13
Dinwiddie County,VIRGINIA,51053,"[37.0712818, -77.6480714]",15,0,6
Emporia (city),VIRGINIA,51595,"[36.6937606, -77.5357141]",20,1,7
Essex County,VIRGINIA,51057,"[37.9140592, -76.9326385]",6,0,1
Fairfax (city),VIRGINIA,51600,"[38.8506152, -77.3005455]",27,2,4
Fairfax County,VIRGINIA,51059,"[38.8156356, -77.2836849]",3002,100,522
Falls Church (city),VIRGINIA,51610,"[38.882334, -77.1710914]",26,2,3
Fauquier County,VIRGINIA,51061,"[38.7513714, -77.8141221]",96,2,8
Floyd County,VIRGINIA,51063,"[36.9157056, -80.3876889]",1,0,0
Fluvanna County,VIRGINIA,51065,"[37.8488527, -78.2789994]",73,5,19
Franklin (city),VIRGINIA,51620,"[36.6793195, -76.9364366]",16,0,0
Franklin County,VIRGINIA,51067,"[36.9911656, -79.8839701]",19,0,3
Frederick County,VIRGINIA,51069,"[39.2127031, -78.279166]",95,0,11
Fredericksburg (city),VIRGINIA,51630,"[38.2967927, -77.483409]",24,0,6
Galax (city),VIRGINIA,51640,"[36.6612387, -80.9238671]",3,0,1
Giles County,VIRGINIA,51071,"[37.3088528, -80.7098781]",4,0,0
Gloucester County,VIRGINIA,51073,"[37.4452288, -76.5594479]",22,1,4
Goochland County,VIRGINIA,51075,"[37.7204342, -77.8837984]",72,3,9
Greene County,VIRGINIA,51079,"[38.2954503, -78.4704823]",10,1,2
Greensville County,VIRGINIA,51081,"[36.6405713, -77.5768298]",36,6,9
Halifax County,VIRGINIA,51083,"[36.747244, -78.9425634]",17,0,1
Hampton (city),VIRGINIA,51650,"[37.0520315, -76.2856365]",108,1,28
Hanover County,VIRGINIA,51085,"[37.744783, -77.4464165]",108,7,25
Harrisonburg (city),VIRGINIA,51660,"[38.4396675, -78.8701365]",383,9,25
Henrico County,VIRGINIA,51087,"[37.5455191, -77.4234124]",817,89,116
Henry County,VIRGINIA,51089,"[36.6725813, -79.9242922]",15,1,2
Highland County,VIRGINIA,51091,"[38.3860395, -79.5179853]",1,0,0
Hopewell (city),VIRGINIA,51670,"[37.280149, -77.2948783]",24,0,8
Isle of Wight County,VIRGINIA,51093,"[36.8953677, -76.7248143]",93,2,9
James City County,VIRGINIA,51095,"[37.3211485, -76.7972515]",154,12,51
King and Queen County,VIRGINIA,51097,"[37.7196754, -76.8794158]",2,0,0
King George County,VIRGINIA,51099,"[38.2786312, -77.175356]",28,4,12
King William County,VIRGINIA,51101,"[37.6940722, -77.0690284]",5,0,1
Lancaster County,VIRGINIA,51103,"[37.7625738, -76.4723233]",1,0,1
Lee County,VIRGINIA,51105,"[36.6841272, -83.0973211]",8,0,1
Lexington (city),VIRGINIA,51678,"[37.775132, -79.4410488]",3,0,0
Louisa County,VIRGINIA,51109,"[37.9854441, -77.9486307]",41,0,9
Loudoun County,VIRGINIA,51107,"[39.0984586, -77.6705008]",628,12,78
Lunenburg County,VIRGINIA,51111,"[36.9445279, -78.2562001]",4,0,0
Lynchburg (city),VIRGINIA,51680,"[37.40088, -79.1844924]",51,1,5
Madison County,VIRGINIA,51113,"[38.4114615, -78.2846634]",14,0,1
Manassas (city),VIRGINIA,51683,"[38.743235, -77.4746953]",165,2,26
Manassas Park (city),VIRGINIA,51685,"[38.7709069, -77.4363015]",50,1,8
Mathews County,VIRGINIA,51115,"[37.4481394, -76.331696]",4,0,1
Middlesex County,VIRGINIA,51119,"[37.6221412, -76.5904374]",4,0,0
Mecklenburg County,VIRGINIA,51117,"[36.6798483, -78.314746]",98,9,19
Montgomery County,VIRGINIA,51121,"[37.1810438, -80.3918782]",54,1,6
Nelson County,VIRGINIA,51125,"[37.7755351, -78.8973622]",7,0,0
New Kent County,VIRGINIA,51127,"[37.4971441, -76.9964301]",20,1,4
Newport News (city),VIRGINIA,51700,"[37.0914429, -76.5213892]",112,7,33
Norfolk (city),VIRGINIA,51710,"[36.8889933, -76.2481624]",184,3,36
Northampton County,VIRGINIA,51131,"[37.3688433, -75.9265679]",28,0,3
Northumberland County,VIRGINIA,51133,"[37.9314992, -76.4836686]",8,0,0
Norton (city),VIRGINIA,51720,"[36.9401004, -82.5947782]",2,0,2
Nottoway County,VIRGINIA,51135,"[37.1489448, -78.0583926]",11,0,0
Orange County,VIRGINIA,51137,"[38.2490349, -78.013983]",26,0,3
Page County,VIRGINIA,51139,"[38.6002354, -78.5016516]",87,0,9
Patrick County,VIRGINIA,51141,"[36.6818706, -80.284636]",2,0,0
Petersburg (city),VIRGINIA,51730,"[37.1924594, -77.3677408]",30,2,13
Pittsylvania County,VIRGINIA,51143,"[36.8121678, -79.4364106]",11,1,5
Poquoson (city),VIRGINIA,51735,"[37.1281989, -76.3702862]",6,0,2
Portsmouth (city),VIRGINIA,51740,"[36.8678592, -76.3755985]",114,5,32
Powhatan County,VIRGINIA,51145,"[37.5531622, -77.9112655]",11,0,0
Prince Edward County,VIRGINIA,51147,"[37.2293293, -78.4628573]",41,2,3
Prince George County,VIRGINIA,51149,"[37.1815024, -77.2153144]",31,0,4
Prince William County,VIRGINIA,51153,"[38.7389846, -77.5536743]",1353,20,137
Pulaski County,VIRGINIA,51155,"[37.0580572, -80.7297289]",9,0,2
Radford (city),VIRGINIA,51750,"[37.1292934, -80.5357895]",3,0,0
Rappahannock County,VIRGINIA,51157,"[38.6926326, -78.1495818]",1,0,0
Richmond (city),VIRGINIA,51760,"[37.5289588, -77.4381069]",304,14,59
Richmond County,VIRGINIA,51159,"[37.9476108, -76.7161921]",132,0,4
Roanoke (city),VIRGINIA,51770,"[37.2529158, -79.9093813]",33,0,5
Roanoke County,VIRGINIA,51161,"[37.2377673, -80.0759642]",41,0,1
Rockbridge County,VIRGINIA,51163,"[37.8331804, -79.4622597]",5,0,0
Rockingham County,VIRGINIA,51165,"[38.5080288, -78.8949442]",193,1,14
Russell County,VIRGINIA,51167,"[36.9251814, -82.1147841]",3,0,1
Salem (city),VIRGINIA,51775,"[37.279858, -80.0174392]",11,0,0
Scott County,VIRGINIA,51169,"[36.7117473, -82.5893052]",6,1,1
Shenandoah County,VIRGINIA,51171,"[38.856559, -78.5890893]",78,2,10
Smyth County,VIRGINIA,51173,"[36.8361654, -81.5298828]",13,0,4
Southampton County,VIRGINIA,51175,"[36.6959378, -77.1586002]",115,1,3
Spotsylvania County,VIRGINIA,51177,"[38.1880936, -77.6741751]",118,3,23
Stafford County,VIRGINIA,51179,"[38.4167265, -77.4579783]",218,2,42
Staunton (city),VIRGINIA,51790,"[38.1495947, -79.072557]",10,0,0
Suffolk (city),VIRGINIA,51800,"[36.7427673, -76.6241825]",147,5,31
Surry County,VIRGINIA,51181,"[37.1118778, -76.895924]",4,1,1
Sussex County,VIRGINIA,51183,"[36.9096897, -77.2741121]",30,1,3
Tazewell County,VIRGINIA,51185,"[37.1236041, -81.5684129]",5,0,0
Virginia Beach (city),VIRGINIA,51810,"[36.5943204, -75.8876014]",355,10,72
Warren County,VIRGINIA,51187,"[38.9131907, -78.2096656]",44,0,3
Washington County,VIRGINIA,51191,"[36.740236, -81.9421666]",34,3,8
Waynesboro (city),VIRGINIA,51820,"[38.0709693, -78.8740901]",11,0,1
Westmoreland County,VIRGINIA,51193,"[38.1153203, -76.7567355]",20,0,2
Williamsburg (city),VIRGINIA,51830,"[37.2815351, -76.6884676]",15,1,6
Winchester (city),VIRGINIA,51840,"[39.1681272, -78.1731933]",33,0,1
Wise County,VIRGINIA,51195,"[37.0170633, -82.6103804]",21,1,9
Wythe County,VIRGINIA,51197,"[36.9118401, -81.0639347]",11,1,1
York County,VIRGINIA,51199,"[37.2230374, -76.5156945]",44,1,6
