County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Adams,OHIO,39001,38.8398935, -83.5051704,3,0
Allen,OHIO,39003,40.8077797, -84.0572225,88,37
Ashland,OHIO,39005,40.7887367, -82.2360391,5,1
Ashtabula,OHIO,39007,41.7167229, -80.74947,70,13
Athens,OHIO,39009,39.355589, -82.0610404,3,1
Auglaize,OHIO,39011,40.5942186, -84.2641951,23,6
Belmont,OHIO,39013,40.0057737, -81.0097516,84,14
Brown,OHIO,39015,38.9092542, -83.8836555,9,2
Butler,OHIO,None,39.399577, -82.287686,184,56
Carroll,OHIO,39019,40.5250362, -81.0927234,16,6
Champaign,OHIO,39021,40.1726987, -83.7701999,7,2
Clark,OHIO,39023,39.9229676, -83.7905959,28,9
Clermont,OHIO,None,41.159717, -81.33822,74,20
Clinton,OHIO,39027,39.4259873, -83.8445792,26,6
Columbiana,OHIO,39029,40.7787016, -80.7648602,185,88
Coshocton,OHIO,39031,40.2905684, -81.9271441,16,3
Crawford,OHIO,39033,40.8705909, -82.9065596,37,2
Cuyahoga,OHIO,None,39.399516, -82.287513,1653,457
Darke,OHIO,39037,40.168765, -84.631372,58,12
Defiance,OHIO,39039,41.3203058, -84.5084835,15,7
Delaware,OHIO,39041,40.2317686, -82.9651045,127,19
Erie,OHIO,39043,41.3506462, -82.640448,37,11
Fairfield,OHIO,None,41.95069, -80.55429,101,23
Fayette,OHIO,39047,39.5839889, -83.4401122,13,0
Franklin,OHIO,None,39.399576, -82.287388,1557,250
Fulton,OHIO,39051,41.6045817, -84.1141048,16,5
Gallia,OHIO,39053,38.7952465, -82.3556216,6,3
Geauga,OHIO,39055,41.4768249, -81.1850459,113,23
Greene,OHIO,39057,39.6908207, -83.9175037,39,9
Guernsey,OHIO,39059,40.0802222, -81.4859433,12,1
Hamilton,OHIO,None,39.399632, -82.287346,768,182
Hancock,OHIO,39063,40.9939911, -83.6587588,29,7
Hardin,OHIO,39065,40.6880457, -83.6835337,20,2
Harrison,OHIO,39067,40.2694328, -81.1289112,2,0
Henry,OHIO,39069,41.2818109, -84.0581255,4,1
Highland,OHIO,39071,39.1802516, -83.6304344,7,2
Hocking,OHIO,39073,39.4644491, -82.5469722,5,2
Holmes,OHIO,39075,40.5840117, -81.9304045,4,2
Huron,OHIO,39077,41.1305303, -82.591828,23,6
Jackson,OHIO,39079,39.0131871, -82.6089043,4,1
Jefferson,OHIO,39081,40.3792938, -80.7847619,31,8
Knox,OHIO,None,41.159717, -81.33822,13,4
Lake,OHIO,39085,41.7064789, -81.2380032,139,44
Lawrence,OHIO,39087,38.6065461, -82.5702511,23,4
Licking,OHIO,39089,40.1318041, -82.4627856,102,21
Logan,OHIO,39091,40.4430521, -83.7414465,13,2
Lorain,OHIO,None,41.117839, -81.381832,320,63
Lucas,OHIO,None,39.396152, -82.302819,853,320
Madison,OHIO,39097,39.8868227, -83.3937233,30,8
Mahoning,OHIO,39099,40.9830133, -80.7826416,621,217
Marion,OHIO,None,41.192099, -81.345028,2132,25
Medina,OHIO,39103,41.1000764, -81.9382517,142,40
Meigs,OHIO,39105,39.1099292, -82.0420769,2,0
Mercer,OHIO,39107,40.4367866, -84.6109122,13,3
Miami,OHIO,39109,40.0580258, -84.2236524,133,47
Monroe,OHIO,39111,39.7157533, -81.1078783,2,2
Montgomery,OHIO,None,39.501826, -82.245615,237,78
Morgan,OHIO,39115,39.5943953, -81.877978,3,0
Morrow,OHIO,39117,40.4574358, -82.7771661,24,4
Muskingum,OHIO,39119,40.0064162, -81.9984697,9,3
Noble,OHIO,39121,39.7517148, -81.4957347,3,1
Ottawa,OHIO,39123,41.5421375, -83.213342,32,10
Paulding,OHIO,39125,41.1628401, -84.5902954,5,2
Perry,OHIO,39127,39.6370289, -82.2044367,10,4
Pickaway,OHIO,39129,39.6725327, -83.0373284,1635,37
Pike,OHIO,39131,39.1056387, -83.0611404,2,0
Portage,OHIO,39133,41.1496775, -81.2082,186,52
Preble,OHIO,39135,39.8125011, -84.6411162,25,5
Putnam,OHIO,39137,41.0677672, -84.1686932,22,6
Richland,OHIO,39139,40.776322, -82.5302254,66,19
Ross,OHIO,39141,39.3455507, -83.077359,30,7
Sandusky,OHIO,39143,41.2951563, -83.1555438,17,7
Scioto,OHIO,39145,38.823448, -83.017141,6,0
Seneca,OHIO,39147,41.1343702, -83.1194199,11,5
Shelby,OHIO,39149,40.3491604, -84.1593008,28,10
Stark,OHIO,39151,40.7214654, -81.4399734,251,62
Summit,OHIO,None,39.399791, -82.287187,385,173
Trumbull,OHIO,39155,41.3068487, -80.7661017,257,99
Tuscarawas,OHIO,39157,40.3759469, -81.464888,34,8
Union,OHIO,39159,40.3255937, -83.3676859,16,2
Van Wert,OHIO,39161,40.8014651, -84.600988,3,1
Vinton,OHIO,39163,39.2744355, -82.4740302,0,0
Warren,OHIO,None,39.407703, -82.182941,117,19
Washington,OHIO,39167,39.4782641, -81.5488945,69,10
Wayne,OHIO,39169,40.8615819, -81.9034617,82,15
Williams,OHIO,39171,41.5018224, -84.5923785,8,3
Wood,OHIO,39173,41.2776661, -83.6643025,92,36
Wyandot,OHIO,39175,40.865471, -83.2810539,20,2
