County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Albany,WYOMING,56001,41.6684047, -105.6812633,6,15.4
Big Horn,WYOMING,56003,44.4952545, -108.0024782,1,8.5
Campbell,WYOMING,56005,44.1908398, -105.5775352,14,30.2
Carbon,WYOMING,56007,41.7423474, -106.8625645,6,40.5
Converse,WYOMING,56009,43.0202459, -105.5046207,10,72.3
Crook,WYOMING,56011,44.5746536, -104.5816096,5,65.9
Fremont,WYOMING,56013,43.0293336, -108.5772551,83,211.4
Goshen,WYOMING,56015,42.0657096, -104.3541422,3,22.7
Hot Springs,WYOMING,56017,43.7008749, -108.409568,1,22.7
Johnson,WYOMING,56019,44.0155638, -106.6140815,11,130.3
Laramie,WYOMING,56021,41.2737321, -104.7268231,85,85.4
Lincoln,WYOMING,56023,42.1765551, -110.7208048,6,30.3
Natrona,WYOMING,56025,42.9487008, -106.8465639,39,48.8
Niobrara,WYOMING,56027,43.0087581, -104.4565524,1,42.4
Park,WYOMING,56029,44.6076072, -109.5678484,1,3.4
Platte,WYOMING,56031,42.0923141, -104.9870991,0,0
Sheridan,WYOMING,56033,44.7947537, -106.8222688,12,39.4
Sublette,WYOMING,56035,42.736927, -109.9905911,1,10.2
Sweetwater,WYOMING,56037,41.6239475, -108.9702314,10,23.6
Teton,WYOMING,56039,43.9133416, -110.6367905,64,272.8
Uinta,WYOMING,56041,41.2631855, -110.5678519,6,29.7
Washakie,WYOMING,56043,43.9308684, -107.6704088,5,64.1
Weston,WYOMING,56045,43.8397865, -104.5361902,0,0.0
