County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths,Recoveries,,Hospitalizations
Androscoggin,MAINE,23001,44.1402839,-70.196395,48,2,27,,11
Aroostook,MAINE,23003,46.6847962,-68.4701132,5,,3,,1
Cumberland,MAINE,23005,43.8506432,-70.4001498,486,26,281,,70
Franklin,MAINE,23007,44.916814,-70.4395797,27,1,8,,1
Hancock,MAINE,23009,44.7135397,-68.2994753,10,,8,,1
Kennebec,MAINE,23011,44.4184616,-69.8250659,104,6,36,,16
Knox,MAINE,23013,44.1773049,-69.2127109,16,,13,,2
Lincoln,MAINE,23015,44.1137571,-69.5351337,13,,10,,
Oxford,MAINE,23017,44.4694529,-70.7782375,15,,12,,1
Penobscot,MAINE,23019,45.2930166,-68.5957766,78,,43,,14
Piscataquis,MAINE,23021,45.8358193,-69.2923096,1,,1,,
Sagadahoc,MAINE,23023,43.9900158,-69.8654643,19,,12,,5
Somerset,MAINE,23025,45.4538403,-70.0997288,17,,14,,
Waldo,MAINE,23027,44.4870161,-69.1365185,48,11,24,,3
Washington,MAINE,23029,44.9744397,-67.6287553,2,,2,,
York,MAINE,23031,43.4229305,-70.6546639,205,7,137,,45
Unknown,MAINE,23,45.709097,-68.8590201,1,,,,
